nacchoid,nutrition,tobacco,rurality,population
ME032,0,0,rural,86504
ME033,0,0,suburb,147942
ME034,0,0,urban,137872
ME035,0,0,urban,194974
ME036,0,0,suburb,200710
MI001,0,0,rural,113847
MI005,1,1,urban,155233
MI006,1,1,suburb,150321
MI008,1,0,suburb,32065
MI009,1,1,suburb,189156
MI011,1,1,suburb,60273
MI013,0,0,urban,680250
MI014,1,1,suburb,37344
MI017,1,1,rural,260954
MI018,1,0,rural,65284
MI019,1,1,urban,412895
MI020,1,1,suburb,90782
MI022,1,1,urban,284582
MI023,1,1,suburb,64294
MI024,1,1,urban,159741
MI025,1,1,urban,258818
MI026,1,1,urban,629237
MI027,1,1,suburb,35098
MI028,1,0,suburb,88153
MI030,0,0,suburb,99047
MI031,1,0,urban,185596
MI032,1,1,urban,860112
MI034,1,1,suburb,67676
MI036,1,1,rural,181855
MI037,0,1,suburb,83427
MI038,1,0,urban,149824
MI040,1,1,urban,1237868
MI041,1,1,urban,276292
MI043,1,1,suburb,41587
MI045,0,1,urban,160078
MI046,1,0,rural,54000
MI047,1,1,urban,126807
MI048,1,1,urban,356874
MI049,1,1,urban,1084554
MI050,1,1,suburb,69275
MN002,1,1,urban,341864
MN003,1,1,suburb,6495
MN004,1,1,urban,86314
MN006,1,1,suburb,25292
MN007,1,1,urban,97338
MN008,1,0,suburb,35571
MN011,NA,NA,urban,200949
MN012,1,1,suburb,21902
MN013,1,0,suburb,43673
MN014,1,1,suburb,63265
MN015,1,1,urban,412529
MN016,1,1,suburb,36573
MN018,0,0,urban,49596
MN019,1,1,suburb,34412
MN020,1,1,rural,20776
MN022,1,NA,suburb,46423
MN024,1,1,urban,632768
MN025,1,1,rural,5233
MN026,1,1,suburb,38413
MN027,1,1,suburb,42285
MN031,1,1,rural,25884
MN032,0,0,urban,407207
MN034,0,0,suburb,39323
MN038,1,1,suburb,150287
MN039,1,1,suburb,57635
MN041,1,1,rural,31704
MN044,1,1,urban,532655
MN046,1,1,suburb,65151
MN048,1,0,urban,139672
MN049,1,1,urban,91126
MN050,1,1,rural,27770
MN051,1,1,urban,152912
MN053,1,1,urban,249283
MN054,1,NA,suburb,11083
MN055,1,1,suburb,51097
MN056,1,1,urban,129918
MN057,1,1,rural,12144
MN059,1,1,rural,14918
MN060,1,1,rural,15930
MN063,1,1,rural,3918
MN064,1,1,suburb,33093
MN065,1,1,suburb,24264
MN066,1,1,rural,21362
MN068,1,1,suburb,19025
MN069,1,NA,suburb,35882
MN070,1,1,suburb,23107
MN071,0,1,rural,4435
MN072,1,1,rural,9417
MN074,0,1,suburb,18101
MN076,1,1,urban,39506
MN077,1,1,rural,29095
